Run_ID,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ApplyTransformer,param_depth,param_initial_filter,param_junction,param_length,param_type_of_block,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,28.47461724281311,2.5684456825256348,3.33229398727417,0.4069514274597168,False,3,4,1,2,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 4, 'junction': 1, 'length': 2, 'type_of_block': 'inception'}",0.359375,0.28515625,0.322265625,0.037109375,245
491,40.62259864807129,0.791008710861206,6.57243549823761,0.2484046220779419,True,3,16,3,4,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 16, 'junction': 3, 'length': 4, 'type_of_block': 'soft_att'}",0.37890625,0.265625,0.322265625,0.056640625,245
212,98.46871721744537,2.873773217201233,9.56311321258545,0.45377254486083984,False,3,16,3,7,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 16, 'junction': 3, 'length': 7, 'type_of_block': 'inception'}",0.29296875,0.3515625,0.322265625,0.029296875,245
270,13.164664626121521,2.3217638731002808,1.7541844844818115,0.059126853942871094,False,3,24,3,3,vgg,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 24, 'junction': 3, 'length': 3, 'type_of_block': 'vgg'}",0.37890625,0.26171875,0.3203125,0.05859375,251
56,53.749797105789185,0.3002157211303711,5.415866374969482,0.023211240768432617,False,3,4,3,4,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 4, 'junction': 3, 'length': 4, 'type_of_block': 'inception'}",0.37109375,0.265625,0.318359375,0.052734375,252
263,56.53090167045593,4.791431665420532,8.98797333240509,0.5162519216537476,False,3,24,2,7,soft_att,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 24, 'junction': 2, 'length': 7, 'type_of_block': 'soft_att'}",0.27734375,0.35546875,0.31640625,0.0390625,253
275,44.411532163619995,0.13204336166381836,6.902591824531555,0.035799622535705566,False,3,24,3,4,soft_att,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 24, 'junction': 3, 'length': 4, 'type_of_block': 'soft_att'}",0.37109375,0.26171875,0.31640625,0.0546875,253
330,19.746224284172058,1.9306343793869019,2.5483298301696777,0.04708099365234375,True,3,4,2,6,vgg,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 4, 'junction': 2, 'length': 6, 'type_of_block': 'vgg'}",0.26953125,0.36328125,0.31640625,0.046875,253
507,23.41964566707611,0.36845409870147705,3.5199369192123413,0.30431830883026123,True,3,24,1,2,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 24, 'junction': 1, 'length': 2, 'type_of_block': 'soft_att'}",0.40234375,0.2265625,0.314453125,0.087890625,256
531,23.771976470947266,0.4356417655944824,3.97836697101593,0.03881347179412842,True,3,24,2,2,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 24, 'junction': 2, 'length': 2, 'type_of_block': 'soft_att'}",0.265625,0.36328125,0.314453125,0.048828125,256
62,14.726251602172852,0.6518874168395996,2.9421117305755615,0.012437582015991211,False,3,4,3,5,vgg,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 4, 'junction': 3, 'length': 5, 'type_of_block': 'vgg'}",0.375,0.25390625,0.314453125,0.060546875,256
511,26.63184380531311,1.0599796772003174,4.817693710327148,0.18103480339050293,True,3,24,1,3,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 24, 'junction': 1, 'length': 3, 'type_of_block': 'soft_att'}",0.265625,0.359375,0.3125,0.046875,259
496,93.72495806217194,9.200627446174622,7.647884368896484,0.08229207992553711,True,3,16,3,6,inception,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 16, 'junction': 3, 'length': 6, 'type_of_block': 'inception'}",0.37109375,0.25390625,0.3125,0.05859375,259
492,67.60189139842987,3.039976477622986,7.415511131286621,0.22709441184997559,True,3,16,3,5,inception,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 16, 'junction': 3, 'length': 5, 'type_of_block': 'inception'}",0.37109375,0.25390625,0.3125,0.05859375,259
443,31.996192812919617,0.8400090932846069,5.565755724906921,0.09623515605926514,True,3,16,1,4,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 16, 'junction': 1, 'length': 4, 'type_of_block': 'soft_att'}",0.26171875,0.36328125,0.3125,0.05078125,259
220,33.86145353317261,1.3308980464935303,4.619353175163269,0.3979068994522095,False,3,24,1,3,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 24, 'junction': 1, 'length': 3, 'type_of_block': 'inception'}",0.26171875,0.36328125,0.3125,0.05078125,259
514,17.790996551513672,0.46470212936401367,1.999087929725647,0.02581632137298584,True,3,24,1,4,vgg,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 24, 'junction': 1, 'length': 4, 'type_of_block': 'vgg'}",0.37109375,0.25390625,0.3125,0.05859375,259
536,53.980300307273865,5.819935917854309,5.805450439453125,0.3934016227722168,True,3,24,2,4,inception,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 24, 'junction': 2, 'length': 4, 'type_of_block': 'inception'}",0.37109375,0.25390625,0.3125,0.05859375,259
412,41.909711956977844,4.13785183429718,5.135629653930664,0.30767059326171875,True,3,8,3,3,inception,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 8, 'junction': 3, 'length': 3, 'type_of_block': 'inception'}",0.37109375,0.25390625,0.3125,0.05859375,259
558,17.01039206981659,0.8099085092544556,1.9164930582046509,0.055522799491882324,True,3,24,3,3,vgg,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 24, 'junction': 3, 'length': 3, 'type_of_block': 'vgg'}",0.37109375,0.25390625,0.3125,0.05859375,259
400,82.40515697002411,0.47419989109039307,8.474890947341919,0.17043709754943848,True,3,8,2,6,inception,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 8, 'junction': 2, 'length': 6, 'type_of_block': 'inception'}",0.37109375,0.25390625,0.3125,0.05859375,259
